deal_number,customer_name,amount,currency,deal_date,category
CSV-001,Hoffmann AG,7500.00,EUR,2026-01-10,TRADE
CSV-002,Schulz GmbH,18000.00,EUR,2026-01-25,LOAN
CSV-003,,4500.00,EUR,2026-02-03,TRADE
CSV-004,Braun KG,-300.00,USD,2026-02-08,LOAN
CSV-005,Schwarz Ltd,32000.00,EUR,2026-02-12,TRADE
CSV-006,Zimmermann GmbH,600.00,EUR,2026-02-18,TRADE
CSV-007,Krause AG,11000.00,USD,2026-02-22,LOAN
CSV-008,Werner GmbH,-1500.00,EUR,2026-03-01,TRADE
CSV-009,,45000.00,EUR,2026-03-02,LOAN
CSV-010,Meier KG,200.00,EUR,2026-03-02,TRADE